time,Fx,Fy,Fz
0.0,-0.873003468,-0.013207925,2.204594635
0.0016608238220214844,-0.883324665,-0.031709574,2.234287229
0.0033104419708251953,-0.88650468,-0.030778895,2.259878588
0.00868844985961914,-0.896571295,-0.045299111,2.291512053
0.010242223739624023,-0.908692258,-0.068089949,2.362806446
0.011662960052490234,-0.911987371,-0.077470876,2.389429418
0.013509988784790039,-0.915138657,-0.086966187,2.415702423
0.015038490295410156,-0.915959071,-0.086445912,2.439601187
0.016655921936035156,-0.925729957,-0.097621308,2.452879388
0.021046161651611328,-0.927424299,-0.100625073,2.483256956
0.02220916748046875,-0.934524449,-0.104257113,2.529009723
0.023345947265625,-0.93728297,-0.109402047,2.55335464
0.02500605583190918,-0.944860662,-0.118244985,2.578687706
0.026699304580688477,-0.952478213,-0.122241483,2.608231982
0.028334856033325195,-0.959419573,-0.129364568,2.632417204
0.03374457359313965,-0.968836787,-0.134195702,2.656977091
0.035063982009887695,-0.993262255,-0.135606803,2.744386183
0.036778926849365234,-1.002286483,-0.13446346,2.773723447
0.0384516716003418,-1.010733973,-0.131246034,2.793355759
0.04010725021362305,-1.019243557,-0.13068214,2.825083687
0.04619646072387695,-1.026051162,-0.12935983,2.844700505
0.04731035232543945,-1.047439418,-0.127856448,2.939549461
0.04852724075317383,-1.05580598,-0.129137121,2.969808428
0.05007600784301758,-1.06441033,-0.130272237,2.995179643
0.05172395706176758,-1.075898333,-0.129677168,3.027968228
0.05331754684448242,-1.081373578,-0.132613102,3.060716188
0.056607961654663086,-1.093521795,-0.133461539,3.094831722
0.0577390193939209,-1.100150913,-0.133320002,3.126312622
0.05878567695617676,-1.106948557,-0.132973732,3.161733477
0.06004452705383301,-1.111340223,-0.132820577,3.198346755
0.06182360649108887,-1.121777856,-0.134822205,3.233641061
0.06348443031311035,-1.126901533,-0.133453136,3.271438992
0.06513595581054688,-1.137435674,-0.136006258,3.305177032
0.06671619415283203,-1.144519665,-0.135105735,3.350289613
0.07104754447937012,-1.150927945,-0.136896328,3.380311912
0.07219433784484863,-1.165594515,-0.139391905,3.454916241
0.07332444190979004,-1.173788189,-0.140332847,3.493378387
0.07515406608581543,-1.179714112,-0.140599397,3.525829487
0.07673525810241699,-1.183973969,-0.138476731,3.553228182
0.07835721969604492,-1.190102028,-0.136979955,3.588308383
0.08363890647888184,-1.196178832,-0.135622976,3.6185316
0.0849919319152832,-1.212113783,-0.13096903,3.686225329
0.08672142028808594,-1.215471822,-0.128134658,3.706131387
0.08835244178771973,-1.221442538,-0.126183437,3.738729321
0.09018969535827637,-1.226095476,-0.126384729,3.767402989
0.09617996215820312,-1.238032287,-0.123940307,3.792185774
0.09727597236633301,-1.276064416,-0.120452862,3.911424418
0.09847521781921387,-1.291333135,-0.119066918,3.936607411
0.10002803802490234,-1.3037037,-0.11713693,3.961743944
0.10169410705566406,-1.315496302,-0.113937377,3.993394934
0.10358119010925293,-1.334886653,-0.108565687,4.024109859
0.10847926139831543,-1.338308647,-0.103806591,4.050987643
0.11006522178649902,-1.350022678,-0.099144848,4.114385529
0.11165046691894531,-1.359431557,-0.097461673,4.139632177
0.11360597610473633,-1.368678203,-0.09965343,4.179533091
0.11528635025024414,-1.385073871,-0.099873033,4.246033797
0.11667680740356445,-1.395316399,-0.097419165,4.291316142
0.11866521835327148,-1.407215125,-0.094978231,4.331691831
0.12108993530273438,-1.418011383,-0.094221518,4.381006356
0.12232732772827148,-1.426851179,-0.092800683,4.432943792
0.12349271774291992,-1.439393569,-0.091336544,4.477182661
0.1251363754272461,-1.445128664,-0.090028965,4.525230929
0.12672805786132812,-1.455855789,-0.091809902,4.566053496
0.12833571434020996,-1.460586049,-0.091931775,4.611759749
0.1336960792541504,-1.468145702,-0.091080658,4.657397181
0.13506531715393066,-1.479404979,-0.090623625,4.725599039
0.13679718971252441,-1.485188725,-0.089296748,4.767936219
0.13843488693237305,-1.486646396,-0.087798372,4.800304263
0.1400301456451416,-1.492030884,-0.085033546,4.828853195
0.1461799144744873,-1.491597885,-0.086601197,4.862144109
0.14730381965637207,-1.49067257,-0.090048448,4.978061819
0.14851140975952148,-1.48499686,-0.091096791,5.003776307
0.15009570121765137,-1.486884836,-0.093445046,5.026893815
0.15173840522766113,-1.48493777,-0.093988572,5.049954883
0.1533973217010498,-1.484216256,-0.094181047,5.073254987
0.1586315631866455,-1.483336627,-0.095483641,5.086473648
0.15999245643615723,-1.488542149,-0.101241657,5.155091876
0.1618056297302246,-1.486861849,-0.106175862,5.182736332
0.1637277603149414,-1.49227299,-0.110473205,5.201464212
0.1651763916015625,-1.495119796,-0.112466312,5.230651818
0.16670799255371094,-1.497474007,-0.115188381,5.264568995
