source_timestamp_sec,Fx,Fy,Fz,Tx,Ty,Tz
1782841451.930159807,0.011152016,-0.001338223,-0.010621186,-0.060492679,-0.081934260,-0.019595613
1782841451.931815863,0.010133771,-0.002111804,-0.021257103,-0.072026659,-0.087075199,-0.041680776
1782841451.933495045,0.011161763,-0.003934198,-0.018861856,-0.083140304,-0.085905960,-0.042375414
1782841451.935151100,0.013094931,-0.001361952,-0.015304167,-0.093729948,-0.097609477,-0.033314899
1782841451.936816692,0.012227561,-0.002033361,-0.016555269,-0.064643583,-0.096162074,-0.028341006
1782841451.938499451,0.012200834,-0.000738206,-0.016495939,-0.063432806,-0.084262051,-0.037606882
1782841451.940194130,0.012233413,-0.001978523,-0.017745208,-0.064357517,-0.088407501,-0.028193899
1782841451.941812992,0.012147834,-0.000714250,-0.020067538,-0.076619354,-0.083826913,-0.037170051
1782841451.943483829,0.014368718,-0.001941447,-0.020142871,-0.057280514,-0.097535981,-0.027992923
1782841451.945147276,0.014298554,-0.001926550,-0.020129709,-0.070507320,-0.097115436,-0.028042747
1782841451.946818113,0.013305806,-0.001417904,-0.021239164,-0.060847409,-0.094830330,-0.046497141
1782841451.948573112,0.012222486,-0.002099227,-0.021260862,-0.071726214,-0.099877808,-0.041821589
1782841451.950151205,0.011112632,-0.000049680,-0.015337511,-0.065979246,-0.073676871,-0.028228198
1782841451.951817513,0.012217999,-0.000729147,-0.020080728,-0.063392394,-0.084247553,-0.037120222
1782841451.953480005,0.012228338,-0.002044392,-0.022450746,-0.071440162,-0.092123600,-0.041674489
1782841451.955156326,0.014264640,-0.000571907,-0.020140461,-0.068909940,-0.085144254,-0.023196512
1782841451.956812859,0.011146578,-0.000020297,-0.016611604,-0.059100680,-0.077688194,-0.013923164
1782841451.958483696,0.011102529,-0.003953816,-0.015348059,-0.089815022,-0.097265809,-0.028753970
1782841451.960148811,0.012215892,-0.000759010,-0.015460319,-0.056739601,-0.103711091,-0.009483940
1782841451.961841583,0.012256791,-0.003298420,-0.021235028,-0.072505837,-0.088600499,-0.046713176
1782841451.963484287,0.013262764,-0.002697929,-0.021285353,-0.075283677,-0.106311749,-0.037282852
1782841451.965189219,0.012138700,-0.003193698,-0.020087900,-0.091836700,-0.084028621,-0.032845583
1782841451.966812849,0.012157396,-0.002018464,-0.016542079,-0.077870542,-0.095741433,-0.028390835
1782841451.968495607,0.011183182,-0.000231057,-0.021261232,-0.060366776,-0.093307433,-0.041466506
1782841451.970158339,0.010121519,-0.001951474,-0.020122183,-0.071106755,-0.071512622,-0.027762885
1782841451.971826553,0.012106319,-0.000672883,-0.012968042,-0.076313281,-0.083785307,-0.024031257
1782841451.973492622,0.011127459,-0.002735008,-0.018887634,-0.082360694,-0.097183635,-0.037483834
1782841451.975148678,0.010144121,-0.003260338,-0.017716581,-0.072458482,-0.075743728,-0.032948672
1782841451.976814747,0.013275440,-0.001318787,-0.023690035,-0.066909585,-0.090666535,-0.032094823
