source_timestamp_sec,Fx,Fy,Fz
1783620025.774078131,0.191102758,-0.252200618,1.445545049
1783620025.775738955,0.199801382,-0.257821054,1.472830768
1783620025.777388573,0.186584717,-0.258672787,1.528858950
1783620025.782766342,0.191908365,-0.265777276,1.535704605
1783620025.784320116,0.181969099,-0.277125636,1.658991191
1783620025.785740852,0.185688104,-0.283390267,1.671175876
1783620025.787588120,0.165374784,-0.287693630,1.738838937
1783620025.789116383,0.165478004,-0.292178849,1.757726321
1783620025.790733814,0.174265229,-0.298213416,1.792259355
1783620025.795124054,0.165263546,-0.307193912,1.835006869
1783620025.796287060,0.169702548,-0.314528928,1.912850040
1783620025.797423840,0.161582287,-0.320746368,1.963958750
1783620025.799084187,0.158797344,-0.324430323,2.001563652
1783620025.800777197,0.159993324,-0.334522373,2.047012230
1783620025.802412987,0.159702978,-0.339041061,2.084654673
1783620025.807822466,0.163661276,-0.342769962,2.112294987
1783620025.809141874,0.181654541,-0.348489011,2.161137069
1783620025.810856819,0.182165934,-0.349696193,2.190318967
1783620025.812529564,0.181174513,-0.350764949,2.198921900
1783620025.814185143,0.196673974,-0.350801426,2.224318938
1783620025.820274591,0.180488275,-0.349015487,2.234352266
1783620025.821388245,0.191179258,-0.344571974,2.262746951
1783620025.822605371,0.206148301,-0.348578594,2.267822005
1783620025.824153900,0.193742766,-0.347783186,2.288547056
1783620025.825801849,0.200058778,-0.349225181,2.309465036
1783620025.827395439,0.203734769,-0.349830971,2.320039491
1783620025.830685854,0.193079848,-0.348016132,2.352929884
1783620025.831816912,0.204610836,-0.353469560,2.356714677
1783620025.832863569,0.205949053,-0.352442507,2.386936629
1783620025.834122419,0.201011191,-0.350288204,2.401459120
1783620025.835901499,0.209130732,-0.353116278,2.404516640
1783620025.837562323,0.205115398,-0.354952195,2.433658568
1783620025.839213848,0.210369318,-0.356161266,2.450886948
1783620025.840794086,0.213872135,-0.364403397,2.472589218
1783620025.845125437,0.211264431,-0.362665709,2.501365963
1783620025.846272230,0.205897153,-0.370203881,2.545331441
1783620025.847402573,0.200853347,-0.368410702,2.557167154
1783620025.849232197,0.216274098,-0.371557304,2.560581362
1783620025.850813389,0.200033491,-0.370442864,2.589583407
1783620025.852435350,0.200924150,-0.368756086,2.588578698
1783620025.857716799,0.209904200,-0.368798152,2.583224121
1783620025.859069824,0.213475324,-0.364822757,2.606569894
1783620025.860799313,0.222189400,-0.370220907,2.609902534
1783620025.862430334,0.211009195,-0.369773451,2.627338877
1783620025.864267588,0.209989716,-0.370207710,2.631196992
1783620025.870257854,0.229210415,-0.377676102,2.669321485
1783620025.871353865,0.237550459,-0.381427688,2.730154470
1783620025.872553349,0.247325630,-0.382304254,2.730565993
1783620025.874106169,0.257519972,-0.387021170,2.723440296
1783620025.875771999,0.257180549,-0.386573669,2.751979063
1783620025.877659082,0.265455155,-0.388808028,2.748279876
1783620025.882557392,0.279473954,-0.390780588,2.755069348
1783620025.884143353,0.286260628,-0.389378211,2.776643569
1783620025.885728359,0.296491687,-0.390892477,2.799022570
1783620025.887683868,0.293418427,-0.387106467,2.815564838
1783620025.889364243,0.301086684,-0.398349886,2.867878591
1783620025.890754938,0.306290897,-0.393240723,2.893054096
1783620025.892743349,0.314530588,-0.400381076,2.900718012
1783620025.895167828,0.318751633,-0.400546343,2.919225019
1783620025.896405220,0.309936683,-0.397168676,2.946855444
1783620025.897570610,0.315517545,-0.398604761,2.954742444
1783620025.899214268,0.321167280,-0.401276582,2.969699129
1783620025.900806189,0.308667881,-0.396071129,2.974293578
1783620025.902413607,0.319134055,-0.399190728,2.979747064
1783620025.907773972,0.315949972,-0.397303050,3.002898370
1783620025.909143209,0.320704892,-0.393420767,3.013075237
1783620025.910875082,0.302313047,-0.389013244,3.025554779
1783620025.912512779,0.302383205,-0.386209908,3.016380613
1783620025.914108038,0.308934265,-0.386696962,3.025220550
1783620025.920257807,0.293570807,-0.383418786,3.038402822
1783620025.921381712,0.279079472,-0.370972432,3.053504836
1783620025.922589302,0.280774627,-0.376770765,3.042243523
1783620025.924173594,0.268789958,-0.369819666,3.066666240
1783620025.925816536,0.273465818,-0.368333571,3.071649730
1783620025.927475214,0.279181631,-0.372889796,3.079149895
1783620025.932709455,0.270772964,-0.367981063,3.102350150
1783620025.934070587,0.267068524,-0.369025300,3.119860966
1783620025.935883760,0.277599149,-0.367922750,3.128279811
1783620025.937805653,0.266768481,-0.363323188,3.148956019
1783620025.939254284,0.270770019,-0.369071317,3.166877155
1783620025.940786123,0.268603190,-0.366349092,3.181596121
1783620025.945272684,0.264016333,-0.365401877,3.184116037
1783620025.946391582,0.259433162,-0.364251762,3.220317090
1783620025.947531700,0.266484345,-0.365043734,3.215256303
1783620025.949151754,0.264291320,-0.365791356,3.239182754
1783620025.950737715,0.250086543,-0.362025681,3.246777714
1783620025.952566385,0.262502376,-0.365419431,3.256456746
1783620025.957774878,0.254472930,-0.363099643,3.277199233
1783620025.959220409,0.251161362,-0.360198091,3.298020667
1783620025.960940599,0.253946334,-0.358963343,3.298649144
1783620025.962512255,0.259745390,-0.363228824,3.308709989
1783620025.964094400,0.251818438,-0.358748601,3.322844627
1783620025.969267130,0.257064085,-0.360902569,3.308596675
1783620025.970942736,0.245228533,-0.359996546,3.342158771
1783620025.972509861,0.249105686,-0.363780183,3.323917120
1783620025.974191666,0.251535471,-0.367072003,3.333092278
1783620025.975827456,0.246979607,-0.358814799,3.336868706
1783620025.977408886,0.243700464,-0.358460490,3.316414816
1783620025.982649326,0.231932577,-0.356849713,3.328576224
1783620025.984136343,0.220025960,-0.355612733,3.311608522
1783620025.985817909,0.223897967,-0.355877478,3.310749766
1783620025.987478971,0.214028903,-0.356726306,3.302717138
1783620025.989272594,0.213988676,-0.355728644,3.290780582
1783620025.995288610,0.214510659,-0.358903283,3.286016974
1783620025.996435642,0.208342225,-0.353665374,3.249374613
1783620025.997569561,0.217044041,-0.355044152,3.238823108
1783620025.999184132,0.204821290,-0.351698871,3.236341731
1783620026.000814199,0.206968845,-0.355194852,3.218948852
1783620026.002457619,0.200529052,-0.353188618,3.210110840
1783620026.007766247,0.198944046,-0.347586820,3.199677660
1783620026.009209633,0.197509534,-0.349733086,3.176262380
1783620026.010729313,0.191986274,-0.348022750,3.158667164
1783620026.012612820,0.184714736,-0.348039494,3.165658812
1783620026.014245987,0.184194676,-0.344422953,3.146510403
1783620026.015878439,0.190061440,-0.349732146,3.127643978
1783620026.020282745,0.177393497,-0.347700382,3.136560880
1783620026.021438360,0.159801701,-0.344547750,3.087670372
1783620026.022781372,0.170163412,-0.348685545,3.073762317
1783620026.024342299,0.161882129,-0.346444324,3.067986308
1783620026.025760889,0.151298224,-0.347377680,3.057087789
1783620026.027577400,0.157642597,-0.349152221,3.034443178
1783620026.031555653,0.148461190,-0.349398858,3.027404773
1783620026.032554150,0.153047334,-0.351300200,2.991128091
1783620026.034202099,0.139046489,-0.349251899,2.981964353
1783620026.035828352,0.143992245,-0.352368687,2.950530996
1783620026.037726879,0.147059558,-0.355846243,2.938861120
1783620026.039235830,0.138654218,-0.346347280,2.917113789
1783620026.040834188,0.149588354,-0.352729110,2.893897521
1783620026.045152664,0.138036450,-0.354199976,2.884229209
1783620026.046432495,0.142009985,-0.354608090,2.837850232
1783620026.047634602,0.132812452,-0.356585606,2.808843890
1783620026.049070358,0.142795690,-0.358485397,2.792669694
1783620026.050917149,0.131906265,-0.361567842,2.778777027
1783620026.052518606,0.134568701,-0.362428138,2.750396930
1783620026.057871103,0.149894242,-0.368605875,2.715046366
1783620026.059262037,0.155381535,-0.374477527,2.672147766
1783620026.060746670,0.156198826,-0.378039070,2.660661443
1783620026.062432766,0.153587756,-0.378606730,2.638822802
1783620026.064068317,0.164685331,-0.387599416,2.605938912
1783620026.065783501,0.155802498,-0.388188973,2.585025184
1783620026.070278406,0.176012317,-0.389547249,2.548104754
1783620026.071409225,0.197198767,-0.405438112,2.431640349
1783620026.072662592,0.195053751,-0.402807465,2.400743069
1783620026.074192047,0.201648421,-0.402217417,2.364718545
1783620026.075864077,0.212229281,-0.405084132,2.334096917
1783620026.077500105,0.217540616,-0.406375974,2.327736783
1783620026.082585812,0.221346675,-0.410609440,2.285106825
1783620026.084178686,0.245538664,-0.421035094,2.215077691
1783620026.085769653,0.251678838,-0.423591132,2.201346896
1783620026.087770700,0.254084407,-0.425763242,2.181952678
1783620026.089192629,0.272824380,-0.429262164,2.118385356
1783620026.090738297,0.284960352,-0.433803644,2.082327064
1783620026.093048096,0.300843551,-0.439044366,2.056552694
1783620026.094084740,0.297328211,-0.436388252,2.045961509
1783620026.095740795,0.310808499,-0.439321093,2.003999354
1783620026.097492218,0.322707120,-0.441089952,1.983660831
1783620026.099128485,0.315266970,-0.440241983,1.985580109
1783620026.100816250,0.331486112,-0.437072580,1.954279346
1783620026.107815981,0.321399237,-0.440038860,1.930632363
1783620026.109296083,0.330722291,-0.444020210,1.878121267
