time,Fx,Fy,Fz
0.0,0.029761971,-0.006944403,0.122864558
0.0016922950744628906,0.023667994,-0.007984416,0.159377514
0.003457784652709961,0.011390054,-0.005564377,0.159706485
0.0051462650299072266,0.016680356,-0.007226647,0.14936057
0.006662607192993164,0.020464518,-0.007871601,0.168827493
0.012488365173339844,0.024666679,-0.005918376,0.178427912
0.01343679428100586,0.028650398,-0.011677804,0.199968886
0.015121698379516602,0.025772884,-0.009441892,0.225056038
0.016677379608154297,0.028706473,-0.011198332,0.217328139
0.018342971801757812,0.044230468,-0.012819566,0.219170116
0.02503371238708496,0.030652396,-0.010911783,0.251801673
0.02674698829650879,0.051332891,-0.018169609,0.283140795
0.028466224670410156,0.061115529,-0.021152442,0.280273021
0.030076980590820312,0.060641239,-0.021081734,0.294960557
0.03176999092102051,0.068037863,-0.021472683,0.304864277
0.034807443618774414,0.080738972,-0.027387498,0.304045519
0.0363922119140625,0.078877031,-0.028719111,0.323850557
0.03783464431762695,0.077164917,-0.027751028,0.344306722
0.03910422325134277,0.094310947,-0.031628733,0.358650368
0.041739702224731445,0.097884933,-0.037404043,0.38542083
0.043485164642333984,0.122505467,-0.047624321,0.417510523
0.04998064041137695,0.120731993,-0.050912637,0.456836026
0.05165696144104004,0.132241766,-0.076014677,0.586496274
0.05334830284118652,0.136526652,-0.085919773,0.622555376
0.05509662628173828,0.146460319,-0.095490649,0.659908015
0.0568242073059082,0.149514866,-0.09998633,0.706065917
0.06252670288085938,0.139681682,-0.108286851,0.742587241
0.0634927749633789,0.148040343,-0.131903566,0.853104155
0.06491398811340332,0.159218268,-0.145689353,0.888675278
0.06662297248840332,0.173246777,-0.152572867,0.928737496
0.06831955909729004,0.181741334,-0.157432227,0.953636221
0.07503223419189453,0.199971178,-0.172316118,0.972264316
0.07683587074279785,0.231378325,-0.212604848,1.145341635
0.0783681869506836,0.234185829,-0.219092198,1.181180525
0.08009862899780273,0.244889892,-0.231663494,1.216629932
0.08180570602416992,0.242285007,-0.237928043,1.256363277
0.0876469612121582,0.25566204,-0.243371119,1.271745826
0.08882308006286621,0.258870931,-0.256318599,1.364819034
0.08992552757263184,0.255808999,-0.255835853,1.39777297
0.09168624877929688,0.246838863,-0.254053006,1.420274185
0.0933690071105957,0.242099371,-0.256754895,1.45352343
0.09663677215576172,0.253310312,-0.257581562,1.469422626
0.09995889663696289,0.233544072,-0.250042025,1.51775441
0.10170984268188477,0.207227597,-0.245255584,1.563366116
0.10346508026123047,0.201526317,-0.264360375,1.624574274
0.10515332221984863,0.176923135,-0.279392522,1.763344894
0.1066281795501709,0.16993647,-0.276216483,1.777909345
0.1121366024017334,0.1789083,-0.290925827,1.866611108
0.11333775520324707,0.167883616,-0.307592376,1.999196336
0.11504101753234863,0.148236221,-0.298609145,1.994733285
0.1176290512084961,0.144437417,-0.300774093,2.026362972
0.11867022514343262,0.139535782,-0.299355304,2.072014418
0.12003898620605469,0.123663697,-0.29251762,2.085488542
0.12503337860107422,0.116657705,-0.295428582,2.130738299
0.12671899795532227,0.093504426,-0.286634103,2.194381312
0.12827825546264648,0.079348128,-0.280516794,2.214555173
0.1301438808441162,0.070494024,-0.29428602,2.287468237
0.13159704208374023,0.0766657,-0.281920798,2.310043035
0.13769173622131348,0.058045943,-0.28146776,2.332228673
0.13886809349060059,0.048083785,-0.288474479,2.464960408
0.1401829719543457,0.049432564,-0.287711223,2.475906791
0.14165544509887695,0.044463923,-0.28249792,2.527319445
0.1433570384979248,0.033350916,-0.280342433,2.520710193
0.15004539489746094,0.028235623,-0.279197754,2.553734586
0.15178394317626953,-0.028575104000000004,-0.260136943,2.678919373
0.15328717231750488,-0.041784815,-0.258705799,2.70122885
0.1551835536956787,-0.056733482,-0.256304101,2.748755544
0.15664219856262207,-0.074424787,-0.250304831,2.779820704
0.16250300407409668,-0.082055178,-0.24770015,2.805723809
0.16359996795654297,-0.113452168,-0.232044631,2.906690817
0.1651461124420166,-0.134102082,-0.233003299,2.950018866
0.1666250228881836,-0.154196542,-0.227683227,2.995674283
0.16832184791564941,-0.152574274,-0.225577893,3.009199833
0.1743156909942627,-0.172800763,-0.221734412,3.047062163
0.1751711368560791,-0.212664312,-0.206400273,3.165752845
0.176743745803833,-0.238905374,-0.19581435,3.193868221
0.17844629287719727,-0.241562579,-0.195608908,3.209903859
0.18015050888061523,-0.264006309,-0.183838366,3.259577721
0.18165278434753418,-0.29192179,-0.178986792,3.296373785
0.18758583068847656,-0.288964459,-0.173259882,3.324231711
0.18879294395446777,-0.349848475,-0.150120176,3.432487877
0.19014835357666016,-0.382982071,-0.13899158,3.487740884
0.191605806350708,-0.403464342,-0.129925009,3.520967981
0.19324970245361328,-0.412869797,-0.124005429,3.580228528
0.19997000694274902,-0.444667702,-0.110607302,3.63274447
0.20180773735046387,-0.506093879,-0.074754584,3.780712743
0.20328760147094727,-0.522867149,-0.062482247,3.820226037
0.20512676239013672,-0.540260325,-0.055072019,3.861077405
0.20681428909301758,-0.542675497,-0.047529311,3.884021183
0.21256756782531738,-0.557321661,-0.040319555,3.921549519
0.21358180046081543,-0.598034877,-0.01959542,4.024138606
0.21503329277038574,-0.616370127,-0.010859873,4.067479247
0.21675944328308105,-0.620073455,-0.007943265,4.098031257
0.21836066246032715,-0.640196875,-0.0008903929999999997,4.139232471
0.220367431640625,-0.657434774,0.00396519,4.150801714
0.22165513038635254,-0.663046948,0.00655471,4.179107601
0.2250971794128418,-0.694883189,0.015142496,4.218098644
0.22669315338134766,-0.719381147,0.025730813,4.264997778
0.2283766269683838,-0.746967992,0.027043204,4.29248839
0.2301042079925537,-0.752600492,0.030052098,4.293737187
0.23180222511291504,-0.77030719,0.034622087,4.317610633
0.23561859130859375,-0.803605703,0.040855918,4.356662305
0.23670458793640137,-0.821523316,0.048600063,4.384348977
0.23845458030700684,-0.853293365,0.056304551,4.428393687
0.24015235900878906,-0.867682239,0.058414939,4.424896901
0.24174118041992188,-0.878080304,0.062308599,4.453588635
0.2434697151184082,-0.908838235,0.068244877,4.483018123
0.25000548362731934,-0.922671245,0.071483075,4.497006891
0.25176429748535156,-0.976490826,0.082647494,4.570781441
0.25357699394226074,-1.000277369,0.091340522,4.610354834
0.2550389766693115,-1.010296495,0.094028896,4.582031986
0.25666093826293945,-1.022724583,0.102004942,4.593340104
0.26250624656677246,-1.058518205,0.106817554,4.590281744
0.2634623050689697,-1.098759112,0.121013455,4.642575805
0.26514220237731934,-1.103617292,0.117264665,4.654244024
0.2665994167327881,-1.12908231,0.123746508,4.683268979
0.2683444023132324,-1.142243742,0.129417396,4.695117857
0.27502942085266113,-1.153564001,0.129400777,4.704102643
0.27682971954345703,-1.202427189,0.163389452,4.736511858
0.2783966064453125,-1.22797772,0.173366706,4.728429857
0.2801330089569092,-1.230273265,0.180746962,4.726922814
0.2816023826599121,-1.245188226,0.189995151,4.735729696
0.28764820098876953,-1.256524153,0.194542007,4.754473988
0.2888643741607666,-1.296735759,0.213651627,4.80661136
0.29020118713378906,-1.295645395,0.210243578,4.818135126
0.29172229766845703,-1.313813946,0.216412257,4.844596653
