sample_index,received_timestamp_sec,source_timestamp_sec,Fx,Fy,Fz,user_number,object_diameter_mm,task_performed,trial_number,sensor_number,finger_name,topic,raw_msg_length
,,1781121145.967676878,0.897103646,-0.352505684,-1.117780192,,,,,,,,
,,1781121145.984424591,0.920121431,-0.370150741,-1.130599843,,,,,,,,
,,1781121146.001048565,0.966364542,-0.288054617,-1.169945891,,,,,,,,
,,1781121146.017687321,0.926642948,-0.155179278,-1.183278088,,,,,,,,
,,1781121146.034446001,0.853522933,-0.122146466,-1.140036443,,,,,,,,
,,1781121146.051158905,0.793586333,-0.100399574,-1.155499529,,,,,,,,
,,1781121146.067444324,0.735053695,0.014787437,-1.179900675,,,,,,,,
,,1781121146.082429647,0.747110136,0.088164493,-1.229755271,,,,,,,,
,,1781121146.098565102,0.801336499,0.150781124,-1.245180130,,,,,,,,
,,1781121146.117726564,0.773348760,0.163940525,-1.240230609,,,,,,,,
,,1781121146.134379387,0.540775342,0.290432331,-1.248971414,,,,,,,,
,,1781121146.151096821,0.643519541,0.243359750,-1.269568429,,,,,,,,
,,1781121146.167773008,0.579429449,0.304388392,-1.245326840,,,,,,,,
,,1781121146.184341192,0.590384130,0.346314177,-1.256001934,,,,,,,,
,,1781121146.201092482,0.500893858,0.591796125,-1.266426067,,,,,,,,
,,1781121146.217940331,0.241200794,1.005386343,-1.227614754,,,,,,,,
,,1781121146.234597683,0.238235846,1.265537316,-1.212785772,,,,,,,,
,,1781121146.251121998,0.161292624,1.521506677,-1.195325822,,,,,,,,
,,1781121146.267744541,0.048990925,1.778525496,-1.218399091,,,,,,,,
,,1781121146.284480095,-0.139658274,1.962918312,-1.145526543,,,,,,,,
,,1781121146.300990582,-0.333833980,2.128315530,-1.062020374,,,,,,,,
,,1781121146.317807913,-0.558593474,2.247323562,-0.983269250,,,,,,,,
,,1781121146.334247112,-0.695415077,2.345289061,-0.914557412,,,,,,,,
,,1781121146.349733591,-0.755850086,2.429469923,-0.906891697,,,,,,,,
,,1781121146.365796804,-0.679762184,2.450021785,-0.989527324,,,,,,,,
,,1781121146.384535313,-0.689212130,2.543599002,-1.066754529,,,,,,,,
,,1781121146.400905132,-0.599563630,2.559251088,-1.206008392,,,,,,,,
,,1781121146.417737722,-0.355260483,2.276111513,-1.328827369,,,,,,,,
,,1781121146.434425116,-0.095311108,1.717054251,-1.324657025,,,,,,,,
,,1781121146.451085091,0.148707971,0.911576809,-1.322803094,,,,,,,,
,,1781121146.467736959,0.323945008,0.329424303,-1.399821888,,,,,,,,
,,1781121146.484508514,0.492266499,0.002652340,-1.447031062,,,,,,,,
,,1781121146.501212120,0.664552105,-0.266467719,-1.454384873,,,,,,,,
,,1781121146.517856598,0.804230728,-0.433783373,-1.452100504,,,,,,,,
